rank,hybrid_score,dense_score,bm25_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,0.5,0.0,16.31559776223101,doc_01749_7ce25189_chunk_0,doc_01749_7ce25189,Ceza Muhakemesi Kanunu,hukuk,Ceza muhakemesinde delil çeşitleri nelerdir?,"Ceza muhakemesinde, tanık beyanları, fiziki deliller, yazılı deliller ve uzman görüşleri gibi delil çeşitleri kullanılır.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Ceza muhakemesinde delil çeşitleri nelerdir? Answer: Ceza muhakemesinde, tanık beyanları, fiziki deliller, yazılı deliller ve uzman görüşleri gibi delil çeşitleri kullanılır.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
2,0.5,0.8081365823745728,0.0,doc_01885_c414418e_chunk_0,doc_01885_c414418e,Ceza Muhakemesi Kanunu,hukuk,Gözaltına alma kararının verilmesi için hangi şartlar aranır?,"Gözaltına alma, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Gözaltına alma kararının verilmesi için hangi şartlar aranır? Answer: Gözaltına alma, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
3,0.44238597631072313,0.8026819229125977,8.678434319517564,doc_02037_535d6daf_chunk_0,doc_02037_535d6daf,Ceza Muhakemesi Kanunu,hukuk,Kanunda tutuklama yasağı olan durumlarda hangi yasal düzenlemeler uygulanabilir?,"Kanunda tutuklama yasağı öngörülen durumlarda da, adlî kontrole ilişkin hükümler uygulanabilir. Örneğin, hamile olan veya doğurduğu tarihten itibaren altı ay geçmemiş bulunan kadın şüphelinin, ağır bir hastalık veya engellilik nedeniyle ceza infaz kurumu koşullarında hayatını yalnız idame ettiremediği durumlarda tutuklama yasağı bulunmaktadır. Bu gibi durumlarda, şüphelinin adlî kontrol altına alınması tercih edilebilir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Kanunda tutuklama yasağı olan durumlarda hangi yasal düzenlemeler uygulanabilir? Answer: Kanunda tutuklama yasağı öngörülen durumlarda da, adlî kontrole ilişkin hükümler uygulanabilir. Örneğin, hamile olan veya doğurduğu tarihten itibaren altı ay geçmemiş bulunan kadın şüphelinin, ağır bir hastalık veya engellilik nedeniyle ceza infaz kurumu koşullarında hayatını yalnız idame ettiremediği durumlarda tutuklama yasağı bulunmaktadır. Bu gibi durumlarda, şüphelinin adlî kontrol altına alınması tercih edilebilir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
4,0.41439488087998094,0.800031840801239,0.0,doc_01917_6be9c3f9_chunk_0,doc_01917_6be9c3f9,Ceza Muhakemesi Kanunu,hukuk,Gözaltına alma kararı verilmesi için hangi koşulların sağlanması gerekir?,"Gözaltına alma kararı, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır. Gözaltına alma kararı, sadece soruşturmanın gerektirdiği durumlarda verilebilir ve kişinin suçu işlediğine dair somut deliller olmalıdır. Keyfi veya gerekçesiz gözaltına alma uygulamalarına izin verilmez.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Gözaltına alma kararı verilmesi için hangi koşulların sağlanması gerekir? Answer: Gözaltına alma kararı, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır. Gözaltına alma kararı, sadece soruşturmanın gerektirdiği durumlarda verilebilir ve kişinin suçu işlediğine dair somut deliller olmalıdır. Keyfi veya gerekçesiz gözaltına alma uygulamalarına izin verilmez.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
5,0.3834580501864142,0.7971028685569763,0.0,doc_01934_ce84e322_chunk_0,doc_01934_ce84e322,Ceza Muhakemesi Kanunu,hukuk,Hangi durumlarda yakalanan veya tutuklanan kişilere kelepçe takılabilir?,"Yakalanan veya tutuklanarak bir yerden diğer bir yere nakledilen kişilere, kaçacaklarına ya da kendisi veya başkalarının hayat ve beden bütünlükleri bakımından tehlike arz ettiğine ilişkin belirtilerin varlığı hâllerinde kelepçe takılabilir. Kelepçe takma işlemi, sadece güvenlik gerekçesiyle ve mutlaka gerekli olduğu durumlarda yapılabilir. Bu işlemin, kişinin temel haklarının korunması ve insan onuruna saygılı bir şekilde gerçekleştirilmesi gerekir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Hangi durumlarda yakalanan veya tutuklanan kişilere kelepçe takılabilir? Answer: Yakalanan veya tutuklanarak bir yerden diğer bir yere nakledilen kişilere, kaçacaklarına ya da kendisi veya başkalarının hayat ve beden bütünlükleri bakımından tehlike arz ettiğine ilişkin belirtilerin varlığı hâllerinde kelepçe takılabilir. Kelepçe takma işlemi, sadece güvenlik gerekçesiyle ve mutlaka gerekli olduğu durumlarda yapılabilir. Bu işlemin, kişinin temel haklarının korunması ve insan onuruna saygılı bir şekilde gerçekleştirilmesi gerekir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
1,1.0,0.687275230884552,11.243033772050115,doc_00711_a31eccd9_chunk_0,doc_00711_a31eccd9,Türkiye Cumhuriyeti Anayasası,hukuk,Bir devletin şekli nasıl tanımlanır?,"Bir devletin şekli, yönetim biçimini ifade eder. Örneğin, bir devlet cumhuriyet, monarşi veya teokrasi olabilir. Cumhuriyet, halkın seçtiği temsilciler tarafından yönetilen bir devlet biçimidir. Monarşi ise, hükümdarın kalıtsal olarak yönettiği bir devlet biçimidir. Teokrasi ise, dini liderlerin yönetimde söz sahibi olduğu bir devlet biçimidir.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Bir devletin şekli nasıl tanımlanır? Answer: Bir devletin şekli, yönetim biçimini ifade eder. Örneğin, bir devlet cumhuriyet, monarşi veya teokrasi olabilir. Cumhuriyet, halkın seçtiği temsilciler tarafından yönetilen bir devlet biçimidir. Monarşi ise, hükümdarın kalıtsal olarak yönettiği bir devlet biçimidir. Teokrasi ise, dini liderlerin yönetimde söz sahibi olduğu bir devlet biçimidir.",4,Anayasa'ya göre devletin şekli nedir?
2,0.47666410324124436,0.0,11.140128710015652,doc_07104_55be37fe_chunk_1,doc_07104_55be37fe,Türk Bayrağı Tüzüğü,hukuk,"Türk Bayrağı Tüzüğü, Türk Bayrağı'nın standartlarının yanı sıra hangi konuları ele alır?","Türk Bayrağı Tüzüğü, Türk Bayrağı'nın standartlarını belirlemenin yanı sıra özel bayrakların standartlarını, bayrağın hangi kumaşlardan yapılacağını, hangi kapalı yerlere konulacağını, nerelere fon olarak takılacağını veya asılacağını, kamu kurum ve kuruluşlarında ve bunlar dışındaki yerlerde ne zaman ve nasıl çekileceğini, nasıl katlanacağını, Türk Silahlı Kuvvetleri yüzer birliklerinde ve Türk bandıralı ticaret gemilerinde Bayrak çekme ve indirme zamanlarını, Bayrak çekilirken ve indirilirken yapılacak törenlere dair hususları, kimlerin tabutlarına Bayrak örtülebileceğini ulusal geleneklere göre Bayrağın diğer kullanım şekli ve yerleri ile Türk Bayrağı Kanununun uygulanmasına dair diğer esasları kapsar.",tabutlarına Bayrak örtülebileceğini ulusal geleneklere göre Bayrağın diğer kullanım şekli ve yerleri ile Türk Bayrağı Kanununun uygulanmasına dair diğer esasları kapsar.,4,Anayasa'ya göre devletin şekli nedir?
3,0.45347404352026816,0.6798756718635559,0.0,doc_00736_843f16c1_chunk_0,doc_00736_843f16c1,Türkiye Cumhuriyeti Anayasası,hukuk,Demokratik devlet ne anlama gelir?,"Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Demokratik devlet ne anlama gelir? Answer: Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.",4,Anayasa'ya göre devletin şekli nedir?
4,0.3928337560723828,0.0,10.770459304765753,doc_01832_91dd9642_chunk_0,doc_01832_91dd9642,Ceza Muhakemesi Kanunu,hukuk,"Zehirlenme şüphesi olduğunda, organlardan parça alınırken, görünen şekli ile organın tahribatının tanımlanmasının nedeni nedir?","Zehirlenme şüphesi olduğunda, organlardan parça alınırken, görünen şekli ile organın tahribatının tanımlanmasının nedeni, zehirlenmenin belirtilerini ve zehirli maddenin etkisini tespit etmek için önemlidir. Bu, zehirlenme olup olmadığını ve hangi maddenin kullanıldığını belirlemek için gereklidir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Zehirlenme şüphesi olduğunda, organlardan parça alınırken, görünen şekli ile organın tahribatının tanımlanmasının nedeni nedir? Answer: Zehirlenme şüphesi olduğunda, organlardan parça alınırken, görünen şekli ile organın tahribatının tanımlanmasının nedeni, zehirlenmenin belirtilerini ve zehirli maddenin etkisini tespit etmek için önemlidir. Bu, zehirlenme olup olmadığını ve hangi maddenin kullanıldığını belirlemek için gereklidir.",4,Anayasa'ya göre devletin şekli nedir?
5,0.3591615804432914,0.0,10.621974018009121,doc_12367_90b09ad3_chunk_0,doc_12367_90b09ad3,Türk Ceza Kanunu,hukuk,Devletin egemenlik alametlerini aşağılama suçunun amacı nedir?,"Devletin egemenlik alametlerini aşağılama suçunun amacı, devletin sembollerini ve kurumlarını korumak, ulusal birliği ve beraberliği sağlamaktır.","Source: Türk Ceza Kanunu Category: hukuk Question: Devletin egemenlik alametlerini aşağılama suçunun amacı nedir? Answer: Devletin egemenlik alametlerini aşağılama suçunun amacı, devletin sembollerini ve kurumlarını korumak, ulusal birliği ve beraberliği sağlamaktır.",4,Anayasa'ya göre devletin şekli nedir?
1,0.5,0.0,27.748820306049883,doc_04673_fa598a10_chunk_0,doc_04673_fa598a10,Türk Medeni Kanunu,hukuk,Aile yurdu olarak belirlenen taşınmazın kullanımıyla ilgili kısıtlamalar nelerdir?,"Mahkemece haklı sebeplere dayanılarak geçici bir istisna kabul edilmiş olmadıkça malikin, taşınmazı veya üzerindeki tesisi kendisinin işletmesi ya da konutta oturması zorunludur. Yani, aile yurdu, malik tarafından kullanılmalı veya işletilirken, malik, aile yurdunda ikamet etmelidir. Bu kural, aile yurdunun amacına uygun olarak kullanılmasını ve ailenin yaşam alanının korunmasını sağlar.","Source: Türk Medeni Kanunu Category: hukuk Question: Aile yurdu olarak belirlenen taşınmazın kullanımıyla ilgili kısıtlamalar nelerdir? Answer: Mahkemece haklı sebeplere dayanılarak geçici bir istisna kabul edilmiş olmadıkça malikin, taşınmazı veya üzerindeki tesisi kendisinin işletmesi ya da konutta oturması zorunludur. Yani, aile yurdu, malik tarafından kullanılmalı veya işletilirken, malik, aile yurdunda ikamet etmelidir. Bu kural, aile yurdunun amacına uygun olarak kullanılmasını ve ailenin yaşam alanının korunmasını sağlar.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
2,0.5,0.693462610244751,0.0,doc_05192_7eb9ceb3_chunk_0,doc_05192_7eb9ceb3,Türk Medeni Kanunu,hukuk,"Vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olabilir mi?","Hayır, vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olamaz. Zorunlu miras payı, mirasçının miras bırakanın mal varlığından en azından alabileceği paydır.","Source: Türk Medeni Kanunu Category: hukuk Question: Vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olabilir mi? Answer: Hayır, vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olamaz. Zorunlu miras payı, mirasçının miras bırakanın mal varlığından en azından alabileceği paydır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
3,0.37716495029464425,0.0,24.59431724249065,doc_04643_664ff7b1_chunk_0,doc_04643_664ff7b1,Türk Medeni Kanunu,hukuk,Aile yurdu hâline getirilen bir taşınmaz üzerindeki rehin ve hacizler nasıl etkilenir?,"Aile yurdu hâline getirilen bir taşınmaz üzerindeki rehin ve hacizler, aile yurdu statüsü nedeniyle geçici olarak askıya alınır. Ancak, borçlu hemen ödemede bulunabilir veya alacaklıların hakları kanıtlanırsa, rehin ve hacizler kaldırılır.","Source: Türk Medeni Kanunu Category: hukuk Question: Aile yurdu hâline getirilen bir taşınmaz üzerindeki rehin ve hacizler nasıl etkilenir? Answer: Aile yurdu hâline getirilen bir taşınmaz üzerindeki rehin ve hacizler, aile yurdu statüsü nedeniyle geçici olarak askıya alınır. Ancak, borçlu hemen ödemede bulunabilir veya alacaklıların hakları kanıtlanırsa, rehin ve hacizler kaldırılır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
4,0.3408361920685712,0.6737171411514282,0.0,doc_05296_c3ec5dcc_chunk_0,doc_05296_c3ec5dcc,Türk Medeni Kanunu,hukuk,Sağ kalan eş için saklı pay oranı nedir?,"Sağ kalan eş için saklı pay oranı, altsoy veya ana ve baba zümresiyle birlikte mirasçı olması hâlinde yasal miras payının tamamı, diğer hâllerde yasal miras payının dörtte üçüdür. Sağ kalan eşin miras payı, altsoy veya ana ve baba ile birlikte mirasçı olması halinde daha yüksektir, çünkü bu durumda eşin miras bırakanın ölümü sonrası yaşamını sürdürebilmesi için daha fazla desteğe ihtiyacı vardır. Diğer durumlarda ise, eşin miras payı dörtte üçü ile sınırlıdır.","Source: Türk Medeni Kanunu Category: hukuk Question: Sağ kalan eş için saklı pay oranı nedir? Answer: Sağ kalan eş için saklı pay oranı, altsoy veya ana ve baba zümresiyle birlikte mirasçı olması hâlinde yasal miras payının tamamı, diğer hâllerde yasal miras payının dörtte üçüdür. Sağ kalan eşin miras payı, altsoy veya ana ve baba ile birlikte mirasçı olması halinde daha yüksektir, çünkü bu durumda eşin miras bırakanın ölümü sonrası yaşamını sürdürebilmesi için daha fazla desteğe ihtiyacı vardır. Diğer durumlarda ise, eşin miras payı dörtte üçü ile sınırlıdır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
