rank,similarity_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,0.8081365823745728,doc_01885_c414418e_chunk_0,doc_01885_c414418e,Ceza Muhakemesi Kanunu,hukuk,Gözaltına alma kararının verilmesi için hangi şartlar aranır?,"Gözaltına alma, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Gözaltına alma kararının verilmesi için hangi şartlar aranır? Answer: Gözaltına alma, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
2,0.8026819229125977,doc_02037_535d6daf_chunk_0,doc_02037_535d6daf,Ceza Muhakemesi Kanunu,hukuk,Kanunda tutuklama yasağı olan durumlarda hangi yasal düzenlemeler uygulanabilir?,"Kanunda tutuklama yasağı öngörülen durumlarda da, adlî kontrole ilişkin hükümler uygulanabilir. Örneğin, hamile olan veya doğurduğu tarihten itibaren altı ay geçmemiş bulunan kadın şüphelinin, ağır bir hastalık veya engellilik nedeniyle ceza infaz kurumu koşullarında hayatını yalnız idame ettiremediği durumlarda tutuklama yasağı bulunmaktadır. Bu gibi durumlarda, şüphelinin adlî kontrol altına alınması tercih edilebilir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Kanunda tutuklama yasağı olan durumlarda hangi yasal düzenlemeler uygulanabilir? Answer: Kanunda tutuklama yasağı öngörülen durumlarda da, adlî kontrole ilişkin hükümler uygulanabilir. Örneğin, hamile olan veya doğurduğu tarihten itibaren altı ay geçmemiş bulunan kadın şüphelinin, ağır bir hastalık veya engellilik nedeniyle ceza infaz kurumu koşullarında hayatını yalnız idame ettiremediği durumlarda tutuklama yasağı bulunmaktadır. Bu gibi durumlarda, şüphelinin adlî kontrol altına alınması tercih edilebilir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
3,0.800031840801239,doc_01917_6be9c3f9_chunk_0,doc_01917_6be9c3f9,Ceza Muhakemesi Kanunu,hukuk,Gözaltına alma kararı verilmesi için hangi koşulların sağlanması gerekir?,"Gözaltına alma kararı, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır. Gözaltına alma kararı, sadece soruşturmanın gerektirdiği durumlarda verilebilir ve kişinin suçu işlediğine dair somut deliller olmalıdır. Keyfi veya gerekçesiz gözaltına alma uygulamalarına izin verilmez.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Gözaltına alma kararı verilmesi için hangi koşulların sağlanması gerekir? Answer: Gözaltına alma kararı, bu tedbirin soruşturma yönünden zorunlu olmasına ve kişinin bir suçu işlediği şüphesini gösteren somut delillerin varlığına bağlıdır. Gözaltına alma kararı, sadece soruşturmanın gerektirdiği durumlarda verilebilir ve kişinin suçu işlediğine dair somut deliller olmalıdır. Keyfi veya gerekçesiz gözaltına alma uygulamalarına izin verilmez.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
4,0.7971028685569763,doc_01934_ce84e322_chunk_0,doc_01934_ce84e322,Ceza Muhakemesi Kanunu,hukuk,Hangi durumlarda yakalanan veya tutuklanan kişilere kelepçe takılabilir?,"Yakalanan veya tutuklanarak bir yerden diğer bir yere nakledilen kişilere, kaçacaklarına ya da kendisi veya başkalarının hayat ve beden bütünlükleri bakımından tehlike arz ettiğine ilişkin belirtilerin varlığı hâllerinde kelepçe takılabilir. Kelepçe takma işlemi, sadece güvenlik gerekçesiyle ve mutlaka gerekli olduğu durumlarda yapılabilir. Bu işlemin, kişinin temel haklarının korunması ve insan onuruna saygılı bir şekilde gerçekleştirilmesi gerekir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Hangi durumlarda yakalanan veya tutuklanan kişilere kelepçe takılabilir? Answer: Yakalanan veya tutuklanarak bir yerden diğer bir yere nakledilen kişilere, kaçacaklarına ya da kendisi veya başkalarının hayat ve beden bütünlükleri bakımından tehlike arz ettiğine ilişkin belirtilerin varlığı hâllerinde kelepçe takılabilir. Kelepçe takma işlemi, sadece güvenlik gerekçesiyle ve mutlaka gerekli olduğu durumlarda yapılabilir. Bu işlemin, kişinin temel haklarının korunması ve insan onuruna saygılı bir şekilde gerçekleştirilmesi gerekir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
5,0.7928048968315125,doc_01976_64bc05aa_chunk_0,doc_01976_64bc05aa,Ceza Muhakemesi Kanunu,hukuk,Tutuklananın durumu yakınlarına nasıl bildirilir?,"Tutuklamadan ve tutuklamanın uzatılmasına ilişkin her karardan tutuklunun bir yakınına veya belirlediği bir kişiye, hâkimin kararıyla gecikmeksizin haber verilir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Tutuklananın durumu yakınlarına nasıl bildirilir? Answer: Tutuklamadan ve tutuklamanın uzatılmasına ilişkin her karardan tutuklunun bir yakınına veya belirlediği bir kişiye, hâkimin kararıyla gecikmeksizin haber verilir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
1,0.687275230884552,doc_00711_a31eccd9_chunk_0,doc_00711_a31eccd9,Türkiye Cumhuriyeti Anayasası,hukuk,Bir devletin şekli nasıl tanımlanır?,"Bir devletin şekli, yönetim biçimini ifade eder. Örneğin, bir devlet cumhuriyet, monarşi veya teokrasi olabilir. Cumhuriyet, halkın seçtiği temsilciler tarafından yönetilen bir devlet biçimidir. Monarşi ise, hükümdarın kalıtsal olarak yönettiği bir devlet biçimidir. Teokrasi ise, dini liderlerin yönetimde söz sahibi olduğu bir devlet biçimidir.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Bir devletin şekli nasıl tanımlanır? Answer: Bir devletin şekli, yönetim biçimini ifade eder. Örneğin, bir devlet cumhuriyet, monarşi veya teokrasi olabilir. Cumhuriyet, halkın seçtiği temsilciler tarafından yönetilen bir devlet biçimidir. Monarşi ise, hükümdarın kalıtsal olarak yönettiği bir devlet biçimidir. Teokrasi ise, dini liderlerin yönetimde söz sahibi olduğu bir devlet biçimidir.",4,Anayasa'ya göre devletin şekli nedir?
2,0.6798756718635559,doc_00736_843f16c1_chunk_0,doc_00736_843f16c1,Türkiye Cumhuriyeti Anayasası,hukuk,Demokratik devlet ne anlama gelir?,"Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Demokratik devlet ne anlama gelir? Answer: Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.",4,Anayasa'ya göre devletin şekli nedir?
3,0.654527485370636,doc_00367_4a7a04b4_chunk_0,doc_00367_4a7a04b4,Türkiye Cumhuriyeti Anayasası,hukuk,Bu tür kurumların devlet denetimi nasıl yapılır?,"Bu tür kurumlar üzerinde devlet denetimi, genellikle yasal çerçeveye uygun olarak yapılır ve kurumların amacına uygun bir şekilde faaliyet göstermesini sağlamak amacıyla uygulanır. Devlet, kurumların mali durumunu, faaliyetlerini ve etik davranışlarını denetler. Devlet ayrıca, kurumların yasalara ve yönetmeliklere uygun bir şekilde çalışmasını sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Bu tür kurumların devlet denetimi nasıl yapılır? Answer: Bu tür kurumlar üzerinde devlet denetimi, genellikle yasal çerçeveye uygun olarak yapılır ve kurumların amacına uygun bir şekilde faaliyet göstermesini sağlamak amacıyla uygulanır. Devlet, kurumların mali durumunu, faaliyetlerini ve etik davranışlarını denetler. Devlet ayrıca, kurumların yasalara ve yönetmeliklere uygun bir şekilde çalışmasını sağlar.",4,Anayasa'ya göre devletin şekli nedir?
4,0.6368415355682373,doc_00032_583c6c4a_chunk_0,doc_00032_583c6c4a,Türkiye Cumhuriyeti Anayasası,hukuk,"Bir Anayasa'da, ülkenin yönetim yetkisinin kimde olduğuna dair nasıl bir açıklama bulunabilir?","Bir Anayasa, ülkenin yönetim yetkisinin kayıtsız şartsız halkta olduğunu belirterek, halkın egemenliğinin temel ilkesini vurgular. Bu, hiçbir kişi veya kuruluşun Anayasanın sınırları dışında halkın adına yönetim yetkisini kullanamayacağı anlamına gelir. Anayasa, halkın iradesinin üstünlüğünü ve halkın temsilcilerine verdiği yetkinin sınırlarını belirler.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Bir Anayasa'da, ülkenin yönetim yetkisinin kimde olduğuna dair nasıl bir açıklama bulunabilir? Answer: Bir Anayasa, ülkenin yönetim yetkisinin kayıtsız şartsız halkta olduğunu belirterek, halkın egemenliğinin temel ilkesini vurgular. Bu, hiçbir kişi veya kuruluşun Anayasanın sınırları dışında halkın adına yönetim yetkisini kullanamayacağı anlamına gelir. Anayasa, halkın iradesinin üstünlüğünü ve halkın temsilcilerine verdiği yetkinin sınırlarını belirler.",4,Anayasa'ya göre devletin şekli nedir?
5,0.6350888013839722,doc_00047_a20dbd86_chunk_0,doc_00047_a20dbd86,Türkiye Cumhuriyeti Anayasası,hukuk,"Yönetim yetkisinin halkta olması, bir Anayasa'da ne anlama gelir?","Bir Anayasa, yönetim yetkisinin halkta olduğunu belirterek, hiçbir kişi veya kuruluşun Anayasada belirtilen sınırlar dışında bu yetkiyi kullanamayacağını vurgular. Bu, halkın egemenliğinin temel ilkesinin Anayasa'da yer aldığını ve yönetim yetkisinin halkın iradesine dayandığını gösterir. Anayasa, halkın temsilcilerine verdiği yetkinin sınırlarını belirterek, halkın iradesinin üstünlüğünü korur.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Yönetim yetkisinin halkta olması, bir Anayasa'da ne anlama gelir? Answer: Bir Anayasa, yönetim yetkisinin halkta olduğunu belirterek, hiçbir kişi veya kuruluşun Anayasada belirtilen sınırlar dışında bu yetkiyi kullanamayacağını vurgular. Bu, halkın egemenliğinin temel ilkesinin Anayasa'da yer aldığını ve yönetim yetkisinin halkın iradesine dayandığını gösterir. Anayasa, halkın temsilcilerine verdiği yetkinin sınırlarını belirterek, halkın iradesinin üstünlüğünü korur.",4,Anayasa'ya göre devletin şekli nedir?
1,0.693462610244751,doc_05192_7eb9ceb3_chunk_0,doc_05192_7eb9ceb3,Türk Medeni Kanunu,hukuk,"Vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olabilir mi?","Hayır, vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olamaz. Zorunlu miras payı, mirasçının miras bırakanın mal varlığından en azından alabileceği paydır.","Source: Türk Medeni Kanunu Category: hukuk Question: Vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olabilir mi? Answer: Hayır, vasiyetnamede belirtilen miras payları, mirasçılara zorunlu miras payından az olamaz. Zorunlu miras payı, mirasçının miras bırakanın mal varlığından en azından alabileceği paydır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
2,0.6737171411514282,doc_05296_c3ec5dcc_chunk_0,doc_05296_c3ec5dcc,Türk Medeni Kanunu,hukuk,Sağ kalan eş için saklı pay oranı nedir?,"Sağ kalan eş için saklı pay oranı, altsoy veya ana ve baba zümresiyle birlikte mirasçı olması hâlinde yasal miras payının tamamı, diğer hâllerde yasal miras payının dörtte üçüdür. Sağ kalan eşin miras payı, altsoy veya ana ve baba ile birlikte mirasçı olması halinde daha yüksektir, çünkü bu durumda eşin miras bırakanın ölümü sonrası yaşamını sürdürebilmesi için daha fazla desteğe ihtiyacı vardır. Diğer durumlarda ise, eşin miras payı dörtte üçü ile sınırlıdır.","Source: Türk Medeni Kanunu Category: hukuk Question: Sağ kalan eş için saklı pay oranı nedir? Answer: Sağ kalan eş için saklı pay oranı, altsoy veya ana ve baba zümresiyle birlikte mirasçı olması hâlinde yasal miras payının tamamı, diğer hâllerde yasal miras payının dörtte üçüdür. Sağ kalan eşin miras payı, altsoy veya ana ve baba ile birlikte mirasçı olması halinde daha yüksektir, çünkü bu durumda eşin miras bırakanın ölümü sonrası yaşamını sürdürebilmesi için daha fazla desteğe ihtiyacı vardır. Diğer durumlarda ise, eşin miras payı dörtte üçü ile sınırlıdır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
3,0.6643812656402588,doc_05194_59a842bb_chunk_0,doc_05194_59a842bb,Türk Medeni Kanunu,hukuk,Zorunlu miras payının oranı nedir?,"Zorunlu miras payının oranı, mirasçıların kategorisine göre değişir. Altsoya mirasın yarısı, ana ve babaya mirasın dörtte biri, evlilik dışı çocuğa ise mirasın dörtte biri zorunlu olarak bırakılmalıdır.","Source: Türk Medeni Kanunu Category: hukuk Question: Zorunlu miras payının oranı nedir? Answer: Zorunlu miras payının oranı, mirasçıların kategorisine göre değişir. Altsoya mirasın yarısı, ana ve babaya mirasın dörtte biri, evlilik dışı çocuğa ise mirasın dörtte biri zorunlu olarak bırakılmalıdır.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
4,0.6602861881256104,doc_04625_880d603b_chunk_0,doc_04625_880d603b,Türk Medeni Kanunu,hukuk,Aile vakfı kurarken kişiler hukuku ve miras hukuku hükümleri nasıl uygulanır?,"Aile vakfı kurulurken, kişiler hukuku ve miras hukuku hükümleri vakfın kuruluş şekli, yönetimi, mal varlıklarının yönetimi ve mirasçılara olanaklar gibi konularda yol gösterir. Kişiler hukuku, vakfın kuruluşu ve tüzel kişiliğiyle ilgili hükümleri içerirken, miras hukuku, mirasın nasıl devredileceği ve vakıf mal varlıklarının mirasçılara dağıtımı gibi hususları düzenler. Örneğin, kişiler hukuku, vakfın yönetim organlarının nasıl seçileceği ve yetkilerinin ne olacağı gibi konularda kurallar belirlerken, miras hukuku, vakfın mal varlıklarının mirasçılara dağıtımının nasıl yapılacağı ve mirasın nasıl devredileceği gibi hususları düzenler.","Source: Türk Medeni Kanunu Category: hukuk Question: Aile vakfı kurarken kişiler hukuku ve miras hukuku hükümleri nasıl uygulanır? Answer: Aile vakfı kurulurken, kişiler hukuku ve miras hukuku hükümleri vakfın kuruluş şekli, yönetimi, mal varlıklarının yönetimi ve mirasçılara olanaklar gibi konularda yol gösterir. Kişiler hukuku, vakfın kuruluşu ve tüzel kişiliğiyle ilgili hükümleri içerirken, miras hukuku, mirasın nasıl devredileceği ve vakıf mal varlıklarının mirasçılara dağıtımı gibi hususları düzenler. Örneğin, kişiler hukuku, vakfın yönetim organlarının nasıl seçileceği ve yetkilerinin ne olacağı gibi konularda kurallar belirlerken, miras hukuku, vakfın mal varlıklarının mirasçılara dağıtımının nasıl yapılacağı ve mirasın nasıl devredileceği gibi hususları düzenler.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
5,0.6545537710189819,doc_05447_d259ce13_chunk_0,doc_05447_d259ce13,Türk Medeni Kanunu,hukuk,Mirası artmirasçıya geçirme yükümlülüğü ile saklı payı zedelenen mirasçı ne isteyebilir?,"Mirası artmirasçıya geçirme yükümlülüğü ile saklı payı zedelenen mirasçı, aşan kısmın tenkisini isteyebilir. Artmirasçı, mirasbırakanın ölümünden sonra mirasın tamamını veya bir kısmını alan kişidir. Örneğin, mirasbırakanın çocuğuna mirasın tamamını bıraktığı, ancak evlatlık çocuğuna da mirasın geçmesi gerektiği koşulunu koyduğu varsayalım. Bu durumda, çocuğun miras hakkı tenkise tabi olabilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Mirası artmirasçıya geçirme yükümlülüğü ile saklı payı zedelenen mirasçı ne isteyebilir? Answer: Mirası artmirasçıya geçirme yükümlülüğü ile saklı payı zedelenen mirasçı, aşan kısmın tenkisini isteyebilir. Artmirasçı, mirasbırakanın ölümünden sonra mirasın tamamını veya bir kısmını alan kişidir. Örneğin, mirasbırakanın çocuğuna mirasın tamamını bıraktığı, ancak evlatlık çocuğuna da mirasın geçmesi gerektiği koşulunu koyduğu varsayalım. Bu durumda, çocuğun miras hakkı tenkise tabi olabilir.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
