id,legal_domain,question_type,difficulty,question,gold_answer,suggested_source_law,suggested_article_reference,source_url,verification_status,review_priority,notes
18,Borçlar Hukuku,conditions,medium,Kira sözleþmelerinde kiracýnýn temerrüdü nedeniyle tahliye þartlarý nelerdir?,"Kiracýnýn temerrüdünde kiraya veren, muaccel kira borcu için kiracýya yazýlý süre verir ve bu sürede ödeme yapýlmazsa sözleþmeyi feshedeceðini bildirir. Konut ve çatýlý iþyeri kiralarýnda bu süre en az otuz gündür.",6098 Sayýlý Türk Borçlar Kanunu,Madde 315,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
19,Borçlar Hukuku,procedure,easy,Cezai þartýn fahiþ (aþýrý) olmasý durumunda hakimin müdahale yetkisi nedir?,"Cezai þart fahiþ ise hâkim, istem üzerine veya þartlarý varsa kendiliðinden indirim yapabilir. Ýndirim, dürüstlük kuralý ve somut olayýn özellikleri gözetilerek belirlenir.",6098 Sayýlý Türk Borçlar Kanunu,Madde 182,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
63,Borçlar Hukuku,conditions,hard,"Aþýrý ifa güçlüðü (uyarlama) talebi için gereken ""öngörülemezlik"" kriterinin unsurlarý nelerdir?","Aþýrý ifa güçlüðünde olay, sözleþme kurulduktan sonra ortaya çýkan ve borçludan kaynaklanmayan olaðanüstü bir durum olmalýdýr. Bu durum taraflarca öngörülmemiþ veya öngörülmesi beklenemeyecek nitelikte olmalý ve edimler arasýndaki dengeyi borçlu aleyhine dürüstlük kuralýna aykýrý düþecek ölçüde bozmalýdýr.",6098 Sayýlý Türk Borçlar Kanunu,Madde 138,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,high,Statute-centered draft; human verification recommended before final evaluation use.
164,Borçlar Hukuku,procedure,easy,"Bir borcun ""ifa yeri"" taraflarca belirlenmemiþse; para borçlarý ve parça borçlarý nerede ifa edilir?","Ýfa yeri kararlaþtýrýlmamýþsa para borçlarý alacaklýnýn ödeme zamanýndaki yerleþim yerinde, parça borçlarý sözleþmenin kurulduðu anda borcun konusu nerede ise orada, diðer bütün borçlar ise borçlunun yerleþim yerinde ifa edilir.",6098 Sayýlý Türk Borçlar Kanunu,Madde 89,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
170,Borçlar Hukuku,exception,medium,"Genel vekaletname ile ""taþýnmaz devri"" veya ""baðýþlama"" yapýlabilir mi?","Genel vekâletname, taþýnmaz devri veya baðýþlama gibi olaðanüstü iþlemler için yeterli deðildir. Bu iþlemlerin yapýlabilmesi için vekile açýk ve özel yetki verilmiþ olmasý gerekir.",6098 Sayýlý Türk Borçlar Kanunu,Madde 504,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
212,Borçlar Hukuku,procedure,medium,"""Aþýrý yararlanma"" (Gabin) davasýnda hak düþürücü süreler ne zaman baþlar?","Aþýrý yararlanma sebebiyle sözleþmenin iptali veya edimler arasýndaki oransýzlýðýn giderilmesi talebi, zarar görenin bu durumu öðrendiði tarihten itibaren bir yýl ve her hâlde sözleþmenin kurulduðu tarihten itibaren beþ yýl içinde ileri sürülmelidir.",6098 Sayýlý Türk Borçlar Kanunu,Madde 28,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
20,Ceza Hukuku,comparison,medium,Meþru müdafaa ile zaruret hali (zorda kalma) arasýndaki farklar nelerdir?,"Meþru müdafaa, kiþinin kendisine veya baþkasýna yönelen haksýz saldýrýyý defetmesi halidir ve hukuka uygunluk sebebidir. Zaruret hali ise aðýr ve muhakkak bir tehlikeden baþka türlü kurtulma imkâný bulunmamasý nedeniyle iþlenen fiildir; saldýrý þartý aranmaz.",5237 Sayýlý Türk Ceza Kanunu,Madde 25,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
21,Ceza Hukuku,conditions,medium,"Suça teþebbüste ""gönüllü vazgeçme""nin ceza sorumluluðuna etkisi nedir?","Fail, suçun icrasýndan gönüllü olarak vazgeçer veya kendi çabasýyla sonucun gerçekleþmesini önlerse teþebbüsten dolayý cezalandýrýlmaz. Ancak o ana kadar gerçekleþen kýsým ayrý bir suç oluþturuyorsa yalnýz ondan sorumlu olur.",5237 Sayýlý Türk Ceza Kanunu,Madde 36,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
23,Ceza Hukuku,conditions,hard,"Suçta ""zincirleme suç"" (teselsül) hükümlerinin uygulanabilmesi için gereken temel þartlar nelerdir?","Zincirleme suç hükümleri için ayný suç iþleme kararýnýn icrasý kapsamýnda, ayný maðdura karþý, deðiþik zamanlarda birden fazla kez ayný suçun iþlenmesi gerekir. Bu halde tek ceza verilir ve ceza artýrýlýr.",5237 Sayýlý Türk Ceza Kanunu,Madde 43,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,high,Statute-centered draft; human verification recommended before final evaluation use.
25,Ceza Hukuku,procedure,medium,Kýsa süreli hapis cezalarýnýn adli para cezasýna çevrilmesi hangi þartlara baðlýdýr?,"Kýsa süreli hapis cezasý, bir yýl veya daha az süreli hapis cezasýdýr. Kanundaki þartlar varsa bu ceza seçenek yaptýrýmlara veya adli para cezasýna çevrilebilir; otuz gün ve daha az süreli hapis cezalarýnda çevrilme daha geniþ uygulanýr.",5237 Sayýlý Türk Ceza Kanunu,Madde 50,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
122,Ceza Hukuku,procedure,medium,"Ceza hukukunda ""teþebbüs"" halinde ceza indirimi hangi kriterlere göre yapýlýr?","Teþebbüs halinde ceza indirimi, meydana gelen zarar veya tehlikenin aðýrlýðýna göre belirlenir. Aðýrlaþtýrýlmýþ müebbet ve müebbet için özel aralýklar, diðer hapis cezalarýnda ise cezada dörtte birden dörtte üçe kadar indirim uygulanýr.",5237 Sayýlý Türk Ceza Kanunu,Madde 35,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
219,Ceza Hukuku,comparison,medium,"Suçun ""manevi unsuru"" bakýmýndan ""doðrudan kast"" ile ""olasý kast"" ayrýmýný yapýnýz.","Doðrudan kastta fail, suçun kanuni unsurlarýný bilerek ve isteyerek gerçekleþtirir. Olasý kastta ise fail, fiilin suç sonucunu doðurabileceðini öngörür ve buna raðmen fiili iþlemeyi göze alýr.",5237 Sayýlý Türk Ceza Kanunu,Madde 21,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
225,Ceza Hukuku,definition,easy,"Ceza hukukunda ""yer yönünden uygulama""da ""mülkilik ilkesi""nin anlamý nedir?",Mülkilik ilkesi gereðince Türkiye’de iþlenen suçlara Türk ceza kanunlarý uygulanýr. Fiilin kýsmen veya tamamen Türkiye’de iþlenmesi ya da neticenin Türkiye’de gerçekleþmesi halinde suç Türkiye’de iþlenmiþ sayýlýr.,5237 Sayýlý Türk Ceza Kanunu,Madde 8,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
275,Ceza Hukuku,procedure,easy,Soruþturulmasý þikayete baðlý suçlarda þikayet süresi ne zamandan itibaren baþlar?,"Soruþturulmasý ve kovuþturulmasý þikâyete baðlý suçlarda þikâyet süresi, maðdurun veya suçtan zarar görenin fiili ve faili öðrendiði günden itibaren altý aydýr.",5237 Sayýlý Türk Ceza Kanunu,Madde 73,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/171020191052245237%20say%C4%B1l%C4%B1%20T%C3%9CRK%20CEZA%20KANUNU.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
26,Ceza Muhakemesi Hukuku,conditions,easy,"Tutuklama kararýnýn verilebilmesi için gereken ""tutuklama nedenleri"" nelerdir?","Tutuklama için kuvvetli suç þüphesini gösteren somut deliller bulunmalý ve bir tutuklama nedeni mevcut olmalýdýr. Kaçma þüphesi veya delilleri yok etme, gizleme ya da tanýk üzerinde baský kurma tehlikesi tutuklama nedenidir; bazý katalog suçlarda bu nedenlerin varlýðý kanunen varsayýlabilir.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 100,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
27,Ceza Muhakemesi Hukuku,exception,hard,Müdafiin (avukatýn) dosya inceleme yetkisi hangi durumlarda kýsýtlanabilir?,"Müdafiin dosya inceleme ve örnek alma yetkisi, soruþturmanýn amacýný tehlikeye düþürebilecekse hâkim kararýyla kýsýtlanabilir. Ancak þüpheli ifadesi, bilirkiþi raporu ve hazýr bulunmaya yetkili olduðu diðer iþlemlere iliþkin tutanaklar bakýmýndan bu kýsýtlama uygulanamaz.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 153,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,high,Statute-centered draft; human verification recommended before final evaluation use.
29,Ceza Muhakemesi Hukuku,definition,easy,Ýfade alma ile sorgu arasýndaki temel fark nedir?,"Ýfade alma, þüphelinin soruþturma evresinde kolluk veya Cumhuriyet savcýsý tarafýndan dinlenmesidir. Sorgu ise þüpheli veya sanýðýn hâkim ya da mahkeme tarafýndan dinlenmesidir.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 2,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
80,Ceza Muhakemesi Hukuku,procedure,medium,Telekomünikasyon yoluyla yapýlan iletiþimin denetlenmesi (dinleme) kararýný kim verir? Acil durum yetkisi nedir?,Telekomünikasyon yoluyla iletiþimin denetlenmesine kural olarak hâkim karar verir. Gecikmesinde sakýnca bulunan hâllerde Cumhuriyet savcýsý karar verebilir; bu karar kanundaki süre içinde hâkim onayýna sunulur.,5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 135,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
128,Ceza Muhakemesi Hukuku,procedure,easy,"Mahkemenin ""keþif"" kararý vermesi için gereken þartlar ve keþfin icrasý nasýl olur?","Keþif, hâkim veya mahkemenin maddi olayý doðrudan gözlemlemek amacýyla yapýlýr. Olayýn aydýnlatýlmasý bakýmýndan gerekli görüldüðünde kararlaþtýrýlýr ve iþlem tutanaða baðlanýr.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 83,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
130,Ceza Muhakemesi Hukuku,procedure,medium,Gözaltý süresi bireysel suçlarda ve toplu suçlarda en fazla ne kadardýr?,"Gözaltý süresi, yakalama anýndan itibaren yirmi dört saati geçemez; toplu suçlarda Cumhuriyet savcýsýnýn yazýlý emriyle her defasýnda bir günü geçmemek üzere uzatýlabilir ve toplam süre dört günü aþamaz. Kiþi bu süre sonunda hâkim önüne çýkarýlmalý veya serbest býrakýlmalýdýr.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 91,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
182,Ceza Muhakemesi Hukuku,exception,medium,"Soruþturma aþamasýnda ""gizlilik kararý"" (kýsýtlama) hangi belgeleri kapsayamaz?","Soruþturma evresinde kýsýtlama kararý verilse bile müdafi; þüphelinin ifadesine, bilirkiþi raporlarýna ve hazýr bulunmaya yetkili olduðu diðer adli iþlemlere iliþkin tutanaklara eriþebilir. Bu belgeler kýsýtlama kararýnýn kapsamý dýþýnda kalýr.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 153,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
183,Ceza Muhakemesi Hukuku,definition,easy,"""Naip hakim"" görevlendirilmesi hangi amaçla yapýlýr?","Naip hâkim, mahkemece bir delilin toplanmasý veya belirli bir usul iþleminin yerine getirilmesi için görevlendirilen hâkimdir. Amaç, özellikle duruþma dýþýnda yapýlmasý gereken iþlemlerin daha hýzlý ve etkin biçimde gerçekleþtirilmesidir.",5271 Sayýlý Ceza Muhakemesi Kanunu,Madde 180,https://alternatifcozumler.adalet.gov.tr/Resimler/icon/5271%20Sayili%20Ceza%20Muhakemesi%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
8,Medeni Hukuk,procedure,medium,Gaiplik kararýnýn istenebilmesi için gereken süreler hangi durumlarda ne kadardýr?,"Gaiplik, ölüm tehlikesi içinde kaybolmada en az bir yýl; uzun zamandan beri haber alýnamama halinde son haber tarihinden itibaren en az beþ yýl geçmesiyle istenebilir. Karar, haklarý bu ölüme baðlý olanlarýn baþvurusu üzerine verilir.",4721 Sayýlý Türk Medeni Kanunu,Madde 33,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
12,Medeni Hukuk,procedure,medium,Altsoy bulunmayan durumlarda eþin miras payý oranlarý nasýldýr?,"Altsoy yoksa sað kalan eþ, mirasbýrakanýn ana ve baba zümresiyle birlikte mirasçý olursa mirasýn yarýsýný; büyük ana ve büyük baba zümresiyle birlikte olursa dörtte üçünü alýr. Bu zümrelerden hiç mirasçý yoksa mirasýn tamamý eþe kalýr.",4721 Sayýlý Türk Medeni Kanunu,Madde 499,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
56,Medeni Hukuk,conditions,medium,"Evlilik birliðinin sarsýlmasý nedeniyle açýlan boþanma davasýnda ""ortak hayatýn yeniden kurulmasý""nýn hukuki sonucu nedir?","Evlilik birliðinin sarsýlmasý sebebiyle açýlan boþanma davasý reddedilir ve karar kesinleþmesinden itibaren üç yýl içinde ortak hayat yeniden kurulamamýþ olursa, evlilik birliði temelinden sarsýlmýþ sayýlýr ve eþlerden birinin istemi üzerine boþanmaya karar verilir.",4721 Sayýlý Türk Medeni Kanunu,Madde 166,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
58,Medeni Hukuk,conditions,medium,Ýyiniyetli zilyedin taþýnýrý iktisap etmesi (kazanmasý) için gereken þartlar nelerdir?,"Ýyiniyetli kiþi, malik olmayan fakat taþýnýrý malik tarafýndan zilyetliði devredilmiþ kiþiden taþýnýrý teslim alýrsa mülkiyeti kazanabilir. Kazaným için devralanýn iyiniyetli olmasý ve taþýnýrýn çalýnmýþ, kaybedilmiþ veya irade dýþý elden çýkmýþ olmamasý gerekir.",4721 Sayýlý Türk Medeni Kanunu,Madde 988,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
107,Medeni Hukuk,procedure,easy,"""Mirasýn reddi"" (reddi miras) süresi ne zamandan itibaren baþlar ve ne kadardýr?","Mirasýn reddi süresi, yasal mirasçýlar için mirasçý olduklarýný öðrendikleri tarihten; atanmýþ mirasçýlar için tasarrufun kendilerine resmen bildirildiði tarihten itibaren üç aydýr.",4721 Sayýlý Türk Medeni Kanunu,Madde 606,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
110,Medeni Hukuk,conditions,medium,"Mirasçýlýktan çýkarma (ýskat) sebeplerinden ""aile hukukundan doðan ödevlerin ihlali""nin kapsamý nedir?","Aile hukukundan doðan ödevlerin aðýr biçimde ihlali, mirasçýlýktan çýkarma sebebi olabilir. Bu ihlal, mirasbýrakana veya ailesine karþý kanundan doðan yükümlülüklerin ciddi biçimde yerine getirilmemesini ifade eder ve tasarrufta sebebin gösterilmesi gerekir.",4721 Sayýlý Türk Medeni Kanunu,Madde 510,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
157,Medeni Hukuk,procedure,medium,Elbirliði mülkiyetinin paylý mülkiyete dönüþtürülmesi usulü nasýl iþler?,"Elbirliði mülkiyetinin paylý mülkiyete dönüþtürülmesi, miras ortaklýðýnda paydaþlardan birinin istemi üzerine ve haklý bir itiraz bulunmamasý halinde hâkim kararýyla mümkündür. Hâkim, terekenin tamamý veya belirli mallar üzerinde paylý mülkiyete geçilmesine karar verebilir.",4721 Sayýlý Türk Medeni Kanunu,Madde 644,https://www.aile.gov.tr/eyhgm/mevzuat/ulusal-mevzuat/kanunlar/turk-medeni-kanunu/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
43,Ticaret Hukuku,conditions,medium,Tacir olmanýn temel sonuçlarý (hükümleri) nelerdir?,"Tacir; her türlü borcu için iflasa tabi olur, ticaret unvaný seçip kullanmak, ticari iþletmesini tescil ettirmek ve gerekli ticari defterleri tutmakla yükümlüdür. Ayrýca tüm ticari faaliyetlerinde basiretli bir iþ adamý gibi davranmak zorundadýr.",6102 Sayýlý Türk Ticaret Kanunu,Madde 18,https://aydin.ticaret.gov.tr/data/5d91fe5b13b876a92027f370/6102%20Say%C4%B1l%C4%B1%20T%C3%BCrk%20Ticaret%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
44,Ticaret Hukuku,conditions,medium,Ticari iþletme devri sözleþmesinin geçerlilik þartlarý nelerdir?,"Ticari iþletmenin devri sözleþmesinin geçerliliði için yazýlý yapýlmasý ve ticaret siciline tescil ile ilan edilmesi gerekir. Devir, aksi kararlaþtýrýlmadýkça iþletmeye dâhil malvarlýðý unsurlarýný bir bütün olarak geçirir.",6102 Sayýlý Türk Ticaret Kanunu,Madde 11,https://aydin.ticaret.gov.tr/data/5d91fe5b13b876a92027f370/6102%20Say%C4%B1l%C4%B1%20T%C3%BCrk%20Ticaret%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
48,Ticaret Hukuku,definition,medium,"Sigorta hukukunda ""halefiyet"" ilkesi neyi ifade eder?","Sigortacý, sigorta tazminatýný ödedikten sonra hukuken sigortalýnýn yerine geçer ve zarar sorumlusuna karþý sigortalýnýn sahip olduðu haklarý ödediði miktar ölçüsünde kullanabilir. Halefiyetin doðumu için tazminatýn fiilen ödenmiþ olmasý gerekir.",6102 Sayýlý Türk Ticaret Kanunu,Madde 1472,https://aydin.ticaret.gov.tr/data/5d91fe5b13b876a92027f370/6102%20Say%C4%B1l%C4%B1%20T%C3%BCrk%20Ticaret%20Kanunu.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
