question_idx,question,gold_answer,gold_source,gold_article,legal_domain,difficulty,predicted_answer,retrieved_sources,retrieved_articles,top_chunk_ids,retrieval_count,source_hit,article_hit@1,article_hit@3,article_hit@5,rouge_l,bleu,token_f1,timestamp
10,Kira sözleşmelerinde kiracının temerrüdü nedeniyle tahliye şartları nelerdir?,"Kiracının temerrüdünde kiraya veren, muaccel kira borcu için kiracıya yazılı süre verir ve bu sürede ödeme yapılmazsa sözleşmeyi feshedeceğini bildirir. Konut ve çatılı işyeri kiralarında bu süre en az otuz gündür.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_08109_e167f195_chunk_0"", ""doc_08088_4fb32a2c_chunk_0"", ""doc_08038_f3237260_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:27.911450
11,Cezai şartın fahiş (aşırı) olması durumunda hakimin müdahale yetkisi nedir?,"Cezai şart fahiş ise hâkim, istem üzerine veya şartları varsa kendiliğinden indirim yapabilir. İndirim, dürüstlük kuralı ve somut olayın özellikleri gözetilerek belirlenir.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_12016_bd9d3688_chunk_0"", ""doc_10274_e8b1aa6c_chunk_0"", ""doc_09527_244be530_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:29.342360
12,"Aşırı ifa güçlüğü (uyarlama) talebi için gereken ""öngörülemezlik"" kriterinin unsurları nelerdir?","Aşırı ifa güçlüğünde olay, sözleşme kurulduktan sonra ortaya çıkan ve borçludan kaynaklanmayan olağanüstü bir durum olmalıdır. Bu durum taraflarca öngörülmemiş veya öngörülmesi beklenemeyecek nitelikte olmalı ve edimler arasındaki dengeyi borçlu aleyhine dürüstlük kuralına aykırı düşecek ölçüde bozmalıdır.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,hard,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_07992_218ad2eb_chunk_1"", ""doc_01115_d3a6980b_chunk_4"", ""doc_01117_127cf583_chunk_3""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:30.829438
13,"Bir borcun ""ifa yeri"" taraflarca belirlenmemişse; para borçları ve parça borçları nerede ifa edilir?","İfa yeri kararlaştırılmamışsa para borçları alacaklının ödeme zamanındaki yerleşim yerinde, parça borçları sözleşmenin kurulduğu anda borcun konusu nerede ise orada, diğer bütün borçlar ise borçlunun yerleşim yerinde ifa edilir.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_07624_60b2f1a3_chunk_1"", ""doc_07605_1c92494b_chunk_0"", ""doc_07700_ab0ee14f_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:32.264537
14,"Genel vekaletname ile ""taşınmaz devri"" veya ""bağışlama"" yapılabilir mi?","Genel vekâletname, taşınmaz devri veya bağışlama gibi olağanüstü işlemler için yeterli değildir. Bu işlemlerin yapılabilmesi için vekile açık ve özel yetki verilmiş olması gerekir.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,medium,"Genel vekaletname ile ""taşınmaz devri"" veya ""bağışlama"" yapılabilir mi?

Verilen bağlamda yeterli bilgi yoktur.","[""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_06659_b8005227_chunk_0"", ""doc_06169_fc00702f_chunk_0"", ""doc_06227_61957232_chunk_0""]",3,False,False,False,False,0.2963,0.2143,0.1622,2026-04-01T21:00:35.563635
15,"""Aşırı yararlanma"" (Gabin) davasında hak düşürücü süreler ne zaman başlar?","Aşırı yararlanma sebebiyle sözleşmenin iptali veya edimler arasındaki oransızlığın giderilmesi talebi, zarar görenin bu durumu öğrendiği tarihten itibaren bir yıl ve her hâlde sözleşmenin kurulduğu tarihten itibaren beş yıl içinde ileri sürülmelidir.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,medium,,"[""T\u00fcrk Medeni Kanunu"", ""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_05177_7fa33243_chunk_0"", ""doc_02778_a8dc5e80_chunk_0"", ""doc_05166_6ce0760e_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:36.407494
16,Meşru müdafaa ile zaruret hali (zorda kalma) arasındaki farklar nelerdir?,"Meşru müdafaa, kişinin kendisine veya başkasına yönelen haksız saldırıyı defetmesi halidir ve hukuka uygunluk sebebidir. Zaruret hali ise ağır ve muhakkak bir tehlikeden başka türlü kurtulma imkânı bulunmaması nedeniyle işlenen fiildir; saldırı şartı aranmaz.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,medium,"Meşru müdafaa, saldırıya karşı kendini veya başkasını koruma amacıyla yapılan eylemdir. Zorunluluk hali ise, karşılaşılan tehlikeden kurtulmak veya başkasını kurtarmak için yapılan eylemdir. 

**Meşru müdafaa** saldırıya karşı **aktif bir savunma** iken, **zorunluluk hali** daha geniş bir kapsamda tehlikeden kurtulmak için yapılan **her türlü eylem**i kapsar. 


**Destek Kaynakları:**

* Türk Ceza Kanunu, Madde 22
* Türk Ceza Kanunu, Madde 23","[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_11972_e7ae1176_chunk_0"", ""doc_12015_f8e1c7f8_chunk_0"", ""doc_11993_10c7959f_chunk_0""]",3,True,False,False,False,0.2308,0.1695,0.1842,2026-04-01T21:00:46.837500
17,"Suça teşebbüste ""gönüllü vazgeçme""nin ceza sorumluluğuna etkisi nedir?","Fail, suçun icrasından gönüllü olarak vazgeçer veya kendi çabasıyla sonucun gerçekleşmesini önlerse teşebbüsten dolayı cezalandırılmaz. Ancak o ana kadar gerçekleşen kısım ayrı bir suç oluşturuyorsa yalnız ondan sorumlu olur.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,medium,"Gönüllü vazgeçme, suç teşebbüsünde cezalandırılmaktan muaf tutar. 

Destek Kaynakları:

* Türk Ceza Kanunu, Madde 25/1","[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_12723_a07aab25_chunk_0"", ""doc_12757_71c76c37_chunk_0"", ""doc_12734_b5c80df0_chunk_0""]",3,True,False,False,False,0.2254,0.1333,0.0909,2026-04-01T21:00:51.110772
18,"Suçta ""zincirleme suç"" (teselsül) hükümlerinin uygulanabilmesi için gereken temel şartlar nelerdir?","Zincirleme suç hükümleri için aynı suç işleme kararının icrası kapsamında, aynı mağdura karşı, değişik zamanlarda birden fazla kez aynı suçun işlenmesi gerekir. Bu halde tek ceza verilir ve ceza artırılır.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,hard,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_09512_3061e52a_chunk_0"", ""doc_12736_400756c8_chunk_0"", ""doc_01984_06b6f258_chunk_3""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:52.574159
19,Kısa süreli hapis cezalarının adli para cezasına çevrilmesi hangi şartlara bağlıdır?,"Kısa süreli hapis cezası, bir yıl veya daha az süreli hapis cezasıdır. Kanundaki şartlar varsa bu ceza seçenek yaptırımlara veya adli para cezasına çevrilebilir; otuz gün ve daha az süreli hapis cezalarında çevrilme daha geniş uygulanır.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,medium,"Kısa süreli hapis cezalarının adli para cezasına çevrilmesi, suçlunun kişiliği, sosyal ve ekonomik durumu, yargılama sürecinde duyduğu pişmanlık ve suçun işlenmesindeki özellikler dikkate alınarak karar verilir. 

Destek Kaynakları:
* Türk Ceza Kanunu","[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_09354_9b345ce5_chunk_0"", ""doc_09336_be25f945_chunk_0"", ""doc_09352_648b9d7c_chunk_0""]",3,True,False,False,False,0.2245,0.2812,0.2712,2026-04-01T21:00:58.592766
20,"Ceza hukukunda ""teşebbüs"" halinde ceza indirimi hangi kriterlere göre yapılır?","Teşebbüs halinde ceza indirimi, meydana gelen zarar veya tehlikenin ağırlığına göre belirlenir. Ağırlaştırılmış müebbet ve müebbet için özel aralıklar, diğer hapis cezalarında ise cezada dörtte birden dörtte üçe kadar indirim uygulanır.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_02055_23995566_chunk_0"", ""doc_09288_b59e922e_chunk_0"", ""doc_03627_31e59fea_chunk_1""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:00.019313
21,"Suçun ""manevi unsuru"" bakımından ""doğrudan kast"" ile ""olası kast"" ayrımını yapınız.","Doğrudan kastta fail, suçun kanuni unsurlarını bilerek ve isteyerek gerçekleştirir. Olası kastta ise fail, fiilin suç sonucunu doğurabileceğini öngörür ve buna rağmen fiili işlemeyi göze alır.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Ceza Kanunu""]","[null, null, null]","[""doc_10445_f82d718a_chunk_1"", ""doc_09984_f9195159_chunk_0"", ""doc_09831_9294a934_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:01.468700
22,"Ceza hukukunda ""yer yönünden uygulama""da ""mülkilik ilkesi""nin anlamı nedir?",Mülkilik ilkesi gereğince Türkiye’de işlenen suçlara Türk ceza kanunları uygulanır. Fiilin kısmen veya tamamen Türkiye’de işlenmesi ya da neticenin Türkiye’de gerçekleşmesi halinde suç Türkiye’de işlenmiş sayılır.,5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_03087_e60f62f5_chunk_0"", ""doc_03152_cd5a671a_chunk_0"", ""doc_03121_23daa93c_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:02.897337
23,Soruşturulması şikayete bağlı suçlarda şikayet süresi ne zamandan itibaren başlar?,"Soruşturulması ve kovuşturulması şikâyete bağlı suçlarda şikâyet süresi, mağdurun veya suçtan zarar görenin fiili ve faili öğrendiği günden itibaren altı aydır.",5237 Sayılı Türk Ceza Kanunu,,Ceza Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_01941_d0053053_chunk_0"", ""doc_01902_6bbce736_chunk_0"", ""doc_02545_6025e51e_chunk_0""]",3,False,False,False,False,0.05,0.0,0.0,2026-04-01T21:01:04.333732
24,"Tutuklama kararının verilebilmesi için gereken ""tutuklama nedenleri"" nelerdir?","Tutuklama için kuvvetli suç şüphesini gösteren somut deliller bulunmalı ve bir tutuklama nedeni mevcut olmalıdır. Kaçma şüphesi veya delilleri yok etme, gizleme ya da tanık üzerinde baskı kurma tehlikesi tutuklama nedenidir; bazı katalog suçlarda bu nedenlerin varlığı kanunen varsayılabilir.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,easy,"Tutuklama kararı verilirken, şüphelinin suç işlediğine dair kuvvetli bir şüphe olması ve tutuklama nedenlerinin varlığı gerekir. 

**Destek Kaynakları:**

* Ceza Muhakemesi Kanunu","[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_01986_294fc52b_chunk_0"", ""doc_01987_986ab497_chunk_1"", ""doc_01953_ba8f81ba_chunk_0""]",3,True,False,False,False,0.1714,0.3182,0.2069,2026-04-01T21:01:08.919220
25,Müdafiin (avukatın) dosya inceleme yetkisi hangi durumlarda kısıtlanabilir?,"Müdafiin dosya inceleme ve örnek alma yetkisi, soruşturmanın amacını tehlikeye düşürebilecekse hâkim kararıyla kısıtlanabilir. Ancak şüpheli ifadesi, bilirkişi raporu ve hazır bulunmaya yetkili olduğu diğer işlemlere ilişkin tutanaklar bakımından bu kısıtlama uygulanamaz.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,hard,"Müdafiin (avukatın) dosya inceleme yetkisi, soruşturmanın amacını tehlikeye düşürebilecek ise Cumhuriyet savcısının istemi üzerine hâkim kararıyla kısıtlanabilir. 

Destek Kaynakları:
* Ceza Muhakemesi Kanunu","[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_02461_f1db9ed7_chunk_0"", ""doc_02460_091681f9_chunk_0"", ""doc_02495_7564d64c_chunk_0""]",3,True,False,False,False,0.4419,0.4348,0.3704,2026-04-01T21:01:14.235981
26,İfade alma ile sorgu arasındaki temel fark nedir?,"İfade alma, şüphelinin soruşturma evresinde kolluk veya Cumhuriyet savcısı tarafından dinlenmesidir. Sorgu ise şüpheli veya sanığın hâkim ya da mahkeme tarafından dinlenmesidir.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,easy,,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_07734_04f009a8_chunk_0"", ""doc_02349_8185045c_chunk_0"", ""doc_08704_6391c16a_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:01:15.082922
27,Telekomünikasyon yoluyla yapılan iletişimin denetlenmesi (dinleme) kararını kim verir? Acil durum yetkisi nedir?,Telekomünikasyon yoluyla iletişimin denetlenmesine kural olarak hâkim karar verir. Gecikmesinde sakınca bulunan hâllerde Cumhuriyet savcısı karar verebilir; bu karar kanundaki süre içinde hâkim onayına sunulur.,5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,medium,"Telekomünikasyon yoluyla yapılan iletişimin denetlenmesi (dinleme) kararını kim verir? Acil durum yetkisi nedir?

Telekomünikasyon yoluyla yapılan iletişimin denetlenmesi (dinleme) kararını, hâkim, Cumhuriyet savcısı ve adli kolluk görevlileri verebilir. Acil durum yetkisi hakkında bilgi verilmemiştir. 

**Destek Kaynakları:**

* Ceza Muhakemesi Kanunu","[""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_02125_983ad174_chunk_0"", ""doc_02122_609ef1e5_chunk_0"", ""doc_02136_60b26399_chunk_0""]",3,True,False,False,False,0.2759,0.2,0.1887,2026-04-01T21:01:22.767836
28,"Mahkemenin ""keşif"" kararı vermesi için gereken şartlar ve keşfin icrası nasıl olur?","Keşif, hâkim veya mahkemenin maddi olayı doğrudan gözlemlemek amacıyla yapılır. Olayın aydınlatılması bakımından gerekli görüldüğünde kararlaştırılır ve işlem tutanağa bağlanır.",5271 Sayılı Ceza Muhakemesi Kanunu,,Ceza Muhakemesi Hukuku,easy,Verilen bağlamda yeterli bilgi yoktur.,"[""Ceza Muhakemesi Kanunu"", ""T\u00fcrk Medeni Kanunu"", ""Ceza Muhakemesi Kanunu""]","[null, null, null]","[""doc_02387_ed79a7ae_chunk_0"", ""doc_06875_a304127f_chunk_0"", ""doc_02241_6242ef9b_chunk_1""]",3,True,False,False,False,0.0408,0.0,0.0,2026-04-01T21:01:24.497958
