rank,reranker_score,hybrid_score,dense_score,bm25_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,6.4179144,0.11450548093304641,0.0,10.427428465461931,doc_01987_986ab497_chunk_0,doc_01987_986ab497,Ceza Muhakemesi Kanunu,hukuk,Tutuklama kararının içeriği nelerdir?,"Tutuklama kararının içeriği şu şekildedir: * **Kuvvetli suç şüphesinin kanıtlanması:** Kararda, şüphelinin suç işlediğine dair kuvvetli şüpheyi gösteren somut deliller belirtilmelidir. Bu deliller, tanık ifadeleri, maddi deliller, belgeler veya diğer kanıtlar olabilir. * **Tutuklama nedenlerinin açıklanması:** Kararda, tutuklama nedenlerinin açıkça belirtilmesi gerekir. Örneğin, şüphelinin kaçma riski, delilleri yok etme olasılığı veya tanıklar üzerinde baskı uygulama ihtimali gibi nedenler belirtilmelidir. * **Tutuklama tedbirinin ölçülü olduğunu gösteren gerekçeler:** Kararda, tutuklamanın gerekliliğini ve adli kontrol uygulamasının yetersiz kaldığını gösteren gerekçeler yer almalıdır. Adli kontrol uygulamalarının yetersiz kaldığı ve tutuklamanın zorunlu olduğu kanıtlanmalıdır. * **Delil sunumu:** Karar, tutuklama kararının verilmesine neden olan delilleri somut olgularla gerekçelendirilerek açıkça göstermelidir. Deliller, kanıtlar ve gerekçeler net ve anlaşılabilir bir şekilde ifade edilmelidir. * **Kararın tebliği:** Kararın içeriği şüpheli veya sanığa sözlü olarak bildirilir ve bir örneği yazılmak suretiyle verilir. Şüpheli veya sanık, kararın içeriğini tam olarak anlamalı ve hakları hakkında bilgilendirilmelidir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Tutuklama kararının içeriği nelerdir? Answer: Tutuklama kararının içeriği şu şekildedir: * **Kuvvetli suç şüphesinin kanıtlanması:** Kararda, şüphelinin suç işlediğine dair kuvvetli şüpheyi gösteren somut deliller belirtilmelidir. Bu deliller, tanık ifadeleri, maddi deliller, belgeler veya diğer kanıtlar olabilir. * **Tutuklama nedenlerinin açıklanması:** Kararda, tutuklama nedenlerinin açıkça belirtilmesi gerekir. Örneğin, şüphelinin kaçma riski, delilleri yok etme olasılığı veya tanıklar üzerinde baskı uygulama ihtimali gibi nedenler belirtilmelidir. * **Tutuklama tedbirinin ölçülü olduğunu gösteren gerekçeler:** Kararda, tutuklamanın gerekliliğini ve adli kontrol uygulamasının yetersiz kaldığını gösteren gerekçeler yer almalıdır.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
2,6.321109,0.19864159922326438,0.0,11.712551039097665,doc_01950_885cc117_chunk_0,doc_01950_885cc117,Ceza Muhakemesi Kanunu,hukuk,Tutuklama nedeni olarak kabul edilebilecek somut olgular nelerdir?,"Şüphelinin kaçma, saklanma veya kaçacağı şüphesini uyandıran somut olgular, örneğin yurt dışına çıkma girişimleri, ülke içindeki adresini gizleme çabaları veya daha önce kaçma geçmişine sahip olması gibi durumlar tutuklama nedeni olarak kabul edilebilir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Tutuklama nedeni olarak kabul edilebilecek somut olgular nelerdir? Answer: Şüphelinin kaçma, saklanma veya kaçacağı şüphesini uyandıran somut olgular, örneğin yurt dışına çıkma girişimleri, ülke içindeki adresini gizleme çabaları veya daha önce kaçma geçmişine sahip olması gibi durumlar tutuklama nedeni olarak kabul edilebilir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
3,6.0368977,0.20387564679636497,0.0,11.792497592663079,doc_01746_dd976e7f_chunk_0,doc_01746_dd976e7f,Ceza Muhakemesi Kanunu,hukuk,Kolluk kuvvetlerinin görevleri nelerdir?,"Kolluk kuvvetleri, suçun işlenmesiyle ilgili soruşturma yapar, şüphelileri gözaltına alır ve tutuklama kararları alır.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Kolluk kuvvetlerinin görevleri nelerdir? Answer: Kolluk kuvvetleri, suçun işlenmesiyle ilgili soruşturma yapar, şüphelileri gözaltına alır ve tutuklama kararları alır.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
4,6.0180845,0.10354178613876992,0.0,10.259965407302099,doc_01955_687fbc74_chunk_0,doc_01955_687fbc74,Ceza Muhakemesi Kanunu,hukuk,Tutuklama kararı verilirken hangi delillerin somut olgularla gerekçelendirilerek açıkça gösterilmesi gerekir?,"Tutuklama kararında, kuvvetli suç şüphesini, tutuklama nedenlerinin varlığını, tutuklama tedbirinin ölçülü olduğunu ve adli kontrol uygulamasının yetersiz kalacağını gösteren deliller somut olgularla gerekçelendirilerek açıkça gösterilir.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Tutuklama kararı verilirken hangi delillerin somut olgularla gerekçelendirilerek açıkça gösterilmesi gerekir? Answer: Tutuklama kararında, kuvvetli suç şüphesini, tutuklama nedenlerinin varlığını, tutuklama tedbirinin ölçülü olduğunu ve adli kontrol uygulamasının yetersiz kalacağını gösteren deliller somut olgularla gerekçelendirilerek açıkça gösterilir.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
5,6.0103617,0.12719293275362975,0.7728407382965088,0.0,doc_01982_89aa020b_chunk_0,doc_01982_89aa020b,Ceza Muhakemesi Kanunu,hukuk,Bir kişiyi tutuklamak için hangi şartlar sağlanmalıdır?,"Bir kişiyi tutuklamak için, kişinin suç işlediğine dair kuvvetli bir şüphe olması ve bu şüpheyi destekleyen somut delillerin bulunması gerekir. Bunun yanı sıra, tutuklama için geçerli bir neden de bulunmalıdır. Örneğin, şüphelinin kaçma riski, delilleri yok etme olasılığı veya tanıklar üzerinde baskı uygulama ihtimali tutuklama nedeni olabilir. Ancak, işin önemi, verilmesi beklenen ceza veya güvenlik tedbiri ile ölçülü olmaması durumunda tutuklama kararı verilemez.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Bir kişiyi tutuklamak için hangi şartlar sağlanmalıdır? Answer: Bir kişiyi tutuklamak için, kişinin suç işlediğine dair kuvvetli bir şüphe olması ve bu şüpheyi destekleyen somut delillerin bulunması gerekir. Bunun yanı sıra, tutuklama için geçerli bir neden de bulunmalıdır. Örneğin, şüphelinin kaçma riski, delilleri yok etme olasılığı veya tanıklar üzerinde baskı uygulama ihtimali tutuklama nedeni olabilir. Ancak, işin önemi, verilmesi beklenen ceza veya güvenlik tedbiri ile ölçülü olmaması durumunda tutuklama kararı verilemez.",3,Ceza muhakemesinde tutuklama şartları nelerdir?
1,5.6624746,0.10958507259749187,0.6251830458641052,0.0,doc_01373_9ad9866e_chunk_0,doc_01373_9ad9866e,Türkiye Cumhuriyeti Anayasası,hukuk,Hukuk devleti ilkesi neyi ifade eder?,"Hukuk devleti ilkesi, devletin kanunlara göre yönetilmesi, kanun önünde herkesin eşit olması, yargının bağımsızlığı, temel hak ve özgürlüklerin korunması ve devletin gücünün sınırlandırılması gibi temel prensipleri ifade eder. Hukuk devleti ilkesi, demokratik bir toplumun temel taşıdır ve bireylerin haklarını, özgürlüklerini ve güvenliğini sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Hukuk devleti ilkesi neyi ifade eder? Answer: Hukuk devleti ilkesi, devletin kanunlara göre yönetilmesi, kanun önünde herkesin eşit olması, yargının bağımsızlığı, temel hak ve özgürlüklerin korunması ve devletin gücünün sınırlandırılması gibi temel prensipleri ifade eder. Hukuk devleti ilkesi, demokratik bir toplumun temel taşıdır ve bireylerin haklarını, özgürlüklerini ve güvenliğini sağlar.",4,Anayasa'ya göre devletin şekli nedir?
2,5.365358,0.11767033325591135,0.0,9.557062220125324,doc_01098_8bea602b_chunk_0,doc_01098_8bea602b,Türkiye Cumhuriyeti Anayasası,hukuk,"Süreli yayınların çıkarılması ve yayım şartları, Anayasa'ya göre nasıl düzenlenir?","Anayasa, süreli yayınların çıkarılması, yayım şartları, mali kaynakları ve gazetecilik mesleği ile ilgili esasların kanunla düzenleneceğini belirtir. Kanun, haber, düşünce ve kanaatlerin serbestçe yayımlanmasını engelleyici veya zorlaştırıcı siyasal, ekonomik, mali ve teknik şartlar koyamaz.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Süreli yayınların çıkarılması ve yayım şartları, Anayasa'ya göre nasıl düzenlenir? Answer: Anayasa, süreli yayınların çıkarılması, yayım şartları, mali kaynakları ve gazetecilik mesleği ile ilgili esasların kanunla düzenleneceğini belirtir. Kanun, haber, düşünce ve kanaatlerin serbestçe yayımlanmasını engelleyici veya zorlaştırıcı siyasal, ekonomik, mali ve teknik şartlar koyamaz.",4,Anayasa'ya göre devletin şekli nedir?
3,4.771143,0.12585251739514008,0.6277702450752258,0.0,doc_00737_3c56e93c_chunk_0,doc_00737_3c56e93c,Türkiye Cumhuriyeti Anayasası,hukuk,Hukuk devleti ne anlama gelir?,"Hukuk devleti, kanunların üstünlüğünü, yasama, yürütme ve yargı organlarının bağımsızlığını, temel hak ve özgürlüklerin korunmasını ve adil yargılamayı temel alan bir devlettir. Hukuk devleti, devletin gücünün sınırlandığı, yasaların herkes için eşit şekilde uygulandığı, temel hak ve özgürlüklerin korunmuş olduğu ve adil bir yargı sisteminin bulunduğu bir devlettir.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Hukuk devleti ne anlama gelir? Answer: Hukuk devleti, kanunların üstünlüğünü, yasama, yürütme ve yargı organlarının bağımsızlığını, temel hak ve özgürlüklerin korunmasını ve adil yargılamayı temel alan bir devlettir. Hukuk devleti, devletin gücünün sınırlandığı, yasaların herkes için eşit şekilde uygulandığı, temel hak ve özgürlüklerin korunmuş olduğu ve adil bir yargı sisteminin bulunduğu bir devlettir.",4,Anayasa'ya göre devletin şekli nedir?
4,4.558802,0.10659325091800917,0.6247072219848633,0.0,doc_00740_6019ab55_chunk_0,doc_00740_6019ab55,Türkiye Cumhuriyeti Anayasası,hukuk,Bir anayasanın değiştirilemez maddeleri neler olabilir?,"Bir anayasanın değiştirilemez maddeleri, devletin şekli, yönetim sistemi, temel hak ve özgürlükler gibi devletin temel yapı taşlarını belirleyen hükümlerdir. Bu maddeler, anayasanın temel ilkelerini ve devletin temel karakterini koruyarak, siyasi istikrar ve hukuk güvenliğini sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Bir anayasanın değiştirilemez maddeleri neler olabilir? Answer: Bir anayasanın değiştirilemez maddeleri, devletin şekli, yönetim sistemi, temel hak ve özgürlükler gibi devletin temel yapı taşlarını belirleyen hükümlerdir. Bu maddeler, anayasanın temel ilkelerini ve devletin temel karakterini koruyarak, siyasi istikrar ve hukuk güvenliğini sağlar.",4,Anayasa'ya göre devletin şekli nedir?
5,4.451639,0.45347404352026816,0.6798756718635559,0.0,doc_00736_843f16c1_chunk_0,doc_00736_843f16c1,Türkiye Cumhuriyeti Anayasası,hukuk,Demokratik devlet ne anlama gelir?,"Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Demokratik devlet ne anlama gelir? Answer: Demokratik devlet, halkın yönetime katılımını ve iradesinin üstünlüğünü temel alan bir devlettir. Demokratik bir devlet, halkın seçtiği temsilciler tarafından yönetilir, temel hak ve özgürlükleri korur, halkın iradesinin etkili bir şekilde temsil edilmesini sağlar ve yönetimin hesap verebilirliğini sağlar.",4,Anayasa'ya göre devletin şekli nedir?
1,6.7590446,0.5,0.0,27.748820306049883,doc_04673_fa598a10_chunk_0,doc_04673_fa598a10,Türk Medeni Kanunu,hukuk,Aile yurdu olarak belirlenen taşınmazın kullanımıyla ilgili kısıtlamalar nelerdir?,"Mahkemece haklı sebeplere dayanılarak geçici bir istisna kabul edilmiş olmadıkça malikin, taşınmazı veya üzerindeki tesisi kendisinin işletmesi ya da konutta oturması zorunludur. Yani, aile yurdu, malik tarafından kullanılmalı veya işletilirken, malik, aile yurdunda ikamet etmelidir. Bu kural, aile yurdunun amacına uygun olarak kullanılmasını ve ailenin yaşam alanının korunmasını sağlar.","Source: Türk Medeni Kanunu Category: hukuk Question: Aile yurdu olarak belirlenen taşınmazın kullanımıyla ilgili kısıtlamalar nelerdir? Answer: Mahkemece haklı sebeplere dayanılarak geçici bir istisna kabul edilmiş olmadıkça malikin, taşınmazı veya üzerindeki tesisi kendisinin işletmesi ya da konutta oturması zorunludur. Yani, aile yurdu, malik tarafından kullanılmalı veya işletilirken, malik, aile yurdunda ikamet etmelidir. Bu kural, aile yurdunun amacına uygun olarak kullanılmasını ve ailenin yaşam alanının korunmasını sağlar.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
2,5.1324916,0.28862640251823235,0.0,22.320575986442627,doc_04681_71f4f526_chunk_0,doc_04681_71f4f526,Türk Medeni Kanunu,hukuk,Taşınmaz sahibi borçlarını ödeyemezse aile yurdu nasıl yönetilir?,"Malik borçlarını ödemede acze düşerse, aile yurdunu yönetmek üzere mahkemece bir yönetici atanır. Yönetici, yurdu amacına ve alacaklıların menfaatlerine uygun biçimde yönetir. Alacaklılar, haklarını aciz belgelerindeki tarih ve iflâstaki sıraya göre alırlar. Yani, taşınmaz sahibi borçlarını ödeyemezse, mahkeme tarafından aile yurdu yönetimini devralabilir ve yurdun amacına uygun olarak kullanılmasını sağlar.","Source: Türk Medeni Kanunu Category: hukuk Question: Taşınmaz sahibi borçlarını ödeyemezse aile yurdu nasıl yönetilir? Answer: Malik borçlarını ödemede acze düşerse, aile yurdunu yönetmek üzere mahkemece bir yönetici atanır. Yönetici, yurdu amacına ve alacaklıların menfaatlerine uygun biçimde yönetir. Alacaklılar, haklarını aciz belgelerindeki tarih ve iflâstaki sıraya göre alırlar. Yani, taşınmaz sahibi borçlarını ödeyemezse, mahkeme tarafından aile yurdu yönetimini devralabilir ve yurdun amacına uygun olarak kullanılmasını sağlar.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
3,4.485469,0.15481028186415885,0.0,18.88407017177952,doc_03972_7253c455_chunk_0,doc_03972_7253c455,Türk Medeni Kanunu,hukuk,Eşlerden biri diğer eşin açık rızası olmadan aile konutu ile ilgili hangi işlemleri yapamaz?,"Eşlerden biri, diğer eşin açık rızası bulunmadıkça, aile konutu ile ilgili kira sözleşmesini feshedemez, aile konutunu devredemez veya aile konutu üzerindeki hakları sınırlayamaz.","Source: Türk Medeni Kanunu Category: hukuk Question: Eşlerden biri diğer eşin açık rızası olmadan aile konutu ile ilgili hangi işlemleri yapamaz? Answer: Eşlerden biri, diğer eşin açık rızası bulunmadıkça, aile konutu ile ilgili kira sözleşmesini feshedemez, aile konutunu devredemez veya aile konutu üzerindeki hakları sınırlayamaz.",5,Aile yurdu ile ilgili malik üzerindeki sınırlamalar nelerdir?
